frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"286","Jul  2, 2020 22:24:59.590478000 AEST","-67","11","57.7778"
"287","Jul  2, 2020 22:25:00.419809000 AEST","-67","11","57.7778"
"288","Jul  2, 2020 22:25:00.420103000 AEST","-67","11","57.7778"
"289","Jul  2, 2020 22:25:00.464518000 AEST","-67","11","57.7778"
"290","Jul  2, 2020 22:25:00.465803000 AEST","-67","11","57.7778"
"291","Jul  2, 2020 22:25:00.591966000 AEST","-67","11","57.7778"
"292","Jul  2, 2020 22:25:00.779581000 AEST","-68","5","57.7778"
"293","Jul  2, 2020 22:25:00.780912000 AEST","-68","11","57.7778"
"294","Jul  2, 2020 22:25:00.781497000 AEST","-67","11","57.7778"
"295","Jul  2, 2020 22:25:00.782266000 AEST","-67","11","57.7778"
"296","Jul  2, 2020 22:25:00.782729000 AEST","-67","11","57.7778"
"297","Jul  2, 2020 22:25:01.136637000 AEST","-67","11","57.7778"
"298","Jul  2, 2020 22:25:01.546263000 AEST","-67","11","57.7778"
"299","Jul  2, 2020 22:25:01.546564000 AEST","-68","11","57.7778"
"300","Jul  2, 2020 22:25:01.595200000 AEST","-67","11","57.7778"
"301","Jul  2, 2020 22:25:02.584753000 AEST","-71","11","57.7778"
"302","Jul  2, 2020 22:25:02.596376000 AEST","-71","11","57.7778"
"303","Jul  2, 2020 22:25:03.184601000 AEST","-67","11","57.7778"
"304","Jul  2, 2020 22:25:03.184929000 AEST",,"11","57.7778"
"305","Jul  2, 2020 22:25:03.184938000 AEST","-68","11","57.7778"
"306","Jul  2, 2020 22:25:03.600645000 AEST","-70","11","57.7778"
"307","Jul  2, 2020 22:25:03.963872000 AEST","-73","11","57.7778"
"308","Jul  2, 2020 22:25:04.456872000 AEST","-73","11","57.7778"
"309","Jul  2, 2020 22:25:04.603678000 AEST","-73","11","57.7778"
"310","Jul  2, 2020 22:25:04.656382000 AEST","-73","11","57.7778"
"311","Jul  2, 2020 22:25:04.680734000 AEST","-69","3","28.8889"
