frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate,wlan_radio.11n.greenfield
"289","Jul  2, 2020 22:19:11.278220000 AEST","-69","12","86.6667","0"
"290","Jul  2, 2020 22:19:11.309392000 AEST","-69","12","86.6667","0"
"291","Jul  2, 2020 22:19:11.377757000 AEST","-69","12","86.6667","0"
"292","Jul  2, 2020 22:19:11.539451000 AEST","-69","12","86.6667","0"
"293","Jul  2, 2020 22:19:11.717456000 AEST","-69","12","86.6667","0"
"294","Jul  2, 2020 22:19:12.099394000 AEST","-69","12","86.6667","0"
"295","Jul  2, 2020 22:19:12.310853000 AEST","-69","12","86.6667","0"
"296","Jul  2, 2020 22:19:12.377604000 AEST","-69","12","86.6667","0"
"297","Jul  2, 2020 22:19:12.867524000 AEST","-69","12","86.6667","0"
"298","Jul  2, 2020 22:19:12.917436000 AEST","-69","12","86.6667","0"
"299","Jul  2, 2020 22:19:12.987531000 AEST","-69","12","86.6667","0"
"300","Jul  2, 2020 22:19:13.315005000 AEST","-69","12","86.6667","0"
"301","Jul  2, 2020 22:19:14.317587000 AEST","-69","12","86.6667","0"
"302","Jul  2, 2020 22:19:15.321173000 AEST","-70","12","86.6667","0"
"303","Jul  2, 2020 22:19:16.323492000 AEST","-70","12","86.6667","0"
"304","Jul  2, 2020 22:19:17.327215000 AEST","-69","12","86.6667","0"
"305","Jul  2, 2020 22:19:18.330329000 AEST","-70","12","86.6667","0"
"306","Jul  2, 2020 22:19:19.332622000 AEST","-67","4","43.3333","0"
"307","Jul  2, 2020 22:19:20.333238000 AEST","-66","4","43.3333","0"
"308","Jul  2, 2020 22:19:21.334301000 AEST","-67","4","43.3333","0"
"309","Jul  2, 2020 22:19:22.337046000 AEST","-70","12","86.6667","0"
"310","Jul  2, 2020 22:19:23.338494000 AEST","-69","12","86.6667","0"
"311","Jul  2, 2020 22:19:24.340992000 AEST","-66","12","86.6667","0"
"312","Jul  2, 2020 22:19:24.341211000 AEST","-66","12","86.6667","0"
"313","Jul  2, 2020 22:19:25.341436000 AEST","-67","12","86.6667","0"
"314","Jul  2, 2020 22:19:26.342865000 AEST","-69","12","86.6667","0"
"315","Jul  2, 2020 22:19:26.461686000 AEST","-64","12","86.6667","0"
"316","Jul  2, 2020 22:19:26.463801000 AEST","-63","12","86.6667","0"
"317","Jul  2, 2020 22:19:26.524190000 AEST","-65","7","72.2222","0"
"318","Jul  2, 2020 22:19:26.828110000 AEST","-67","12","86.6667","0"
"319","Jul  2, 2020 22:19:26.829941000 AEST","-68","12","86.6667","0"
"320","Jul  2, 2020 22:19:27.104900000 AEST","-67","12","86.6667","0"
"321","Jul  2, 2020 22:19:27.177447000 AEST","-67","12","86.6667","0"
"322","Jul  2, 2020 22:19:27.346524000 AEST","-67","12","86.6667","0"
"323","Jul  2, 2020 22:19:27.545585000 AEST","-65","12","86.6667","0"
"324","Jul  2, 2020 22:19:27.551446000 AEST","-65","12","86.6667","0"
"325","Jul  2, 2020 22:19:27.557492000 AEST","-65","12","86.6667","0"
"326","Jul  2, 2020 22:19:27.815450000 AEST","-70","12","86.6667","0"
"327","Jul  2, 2020 22:19:28.017495000 AEST","-66","12","86.6667","0"
"328","Jul  2, 2020 22:19:28.350953000 AEST","-66","12","86.6667","0"
"329","Jul  2, 2020 22:19:28.442497000 AEST","-67","12","86.6667","0"
"330","Jul  2, 2020 22:19:28.471446000 AEST","-66","12","86.6667","0"
"331","Jul  2, 2020 22:19:28.743053000 AEST","-69","12","86.6667","0"
"332","Jul  2, 2020 22:19:29.118586000 AEST","-64","12","86.6667","0"
"333","Jul  2, 2020 22:19:29.352175000 AEST","-60","12","86.6667","0"
"334","Jul  2, 2020 22:19:30.356250000 AEST","-59","12","86.6667","0"
"335","Jul  2, 2020 22:19:30.460652000 AEST","-60","12","86.6667","0"
"336","Jul  2, 2020 22:19:31.363060000 AEST","-65","12","86.6667","0"
"337","Jul  2, 2020 22:19:32.363468000 AEST","-64","12","86.6667","0"
"338","Jul  2, 2020 22:19:32.899099000 AEST","-61","12","86.6667","0"
"339","Jul  2, 2020 22:19:33.369027000 AEST","-61","12","86.6667","0"
"340","Jul  2, 2020 22:19:33.637519000 AEST","-62","12","86.6667","0"
"341","Jul  2, 2020 22:19:34.374824000 AEST","-65","13","115.556","0"
"342","Jul  2, 2020 22:19:35.018550000 AEST","-67","13","115.556","0"
"343","Jul  2, 2020 22:19:35.106606000 AEST","-67","13","115.556","0"
"344","Jul  2, 2020 22:19:35.306520000 AEST","-62","13","115.556","0"
