"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"1959","32.320526","46:b3:2c:81:00:f3","Broadcast","802.11","244","-70dBm","-86dBm","16dB","Beacon frame, SN=2516, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1960","32.627620","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2517, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1986","32.934956","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2518, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"1994","33.242059","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2519, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2012","33.856431","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2523, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2014","34.163690","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2524, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2022","34.470970","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2525, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2025","34.778178","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-86dBm","13dB","Beacon frame, SN=2526, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2026","35.085382","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2527, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2032","35.392604","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2528, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2034","35.699776","46:b3:2c:81:00:f3","Broadcast","802.11","244","-72dBm","-86dBm","14dB","Beacon frame, SN=2529, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2038","36.006988","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-85dBm","12dB","Beacon frame, SN=2530, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2041","36.314176","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-85dBm","12dB","Beacon frame, SN=2531, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2043","36.621288","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-85dBm","12dB","Beacon frame, SN=2532, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2045","36.928581","46:b3:2c:81:00:f3","Broadcast","802.11","244","-73dBm","-85dBm","12dB","Beacon frame, SN=2533, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2071","37.235705","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2536, FN=0, Flags=........C, BI=300, SSID=COMP4336"
